onglet,ligne,libelle,categorie_proposee,nature_proposee,premiere_formule_cellule,formule_observee,onglets_references,erreurs_litterales,nombre_formules,statut
Hyp 2027,56,Commissions M12,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,58,REC Cloture M01,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,59,REC Cloture M02,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,60,REC Cloture M03,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,61,REC Cloture M04,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,62,REC Cloture M05,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,63,REC Cloture M06,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,65,Variation REC  M01,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,66,Variation REC  M02,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,67,Variation REC  M03,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,68,Variation REC  M04,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,69,Variation REC  M05,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,70,Variation REC  M06,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,71,Variation REC  M07,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,72,Variation REC  M08 (2025),IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,73,Variation REC  M09,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,74,Variation REC  M10,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,75,Variation REC  M11,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,76,Variation REC  M12,IDENTITÉ COMPTABLE,Calcul,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,78,REASS 2026 YTD (fichiers M01-M06),À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,79,Primes cedees M01,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,80,Primes cedees M02,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,81,Primes cedees M03,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,82,Primes cedees M04,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,83,Primes cedees M05,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,84,Primes cedees M06,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,85,Primes cedees M07,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,86,Primes cedees M08 (2025),PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,87,Primes cedees M09,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,88,Primes cedees M10,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,B88,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,89,Primes cedees M11,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,90,Primes cedees M12,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,92,Sinistres payes Per. M01,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,93,Sinistres payes Per. M02,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,94,Sinistres payes Per. M03,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,95,Sinistres payes Per. M04,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,96,Sinistres payes Per. M05,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,97,Sinistres payes Per. M06,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,98,Sinistres payes Per. M07,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,99,Sinistres payes Per. M08 (2025),PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,100,Sinistres payes Per. M09,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,101,Sinistres payes Per. M10,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,102,Sinistres payes Per. M11,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,103,Sinistres payes Per. M12,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,105,Sinistres payes Ant. M01,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,106,Sinistres payes Ant. M02,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,107,Sinistres payes Ant. M03,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,108,Sinistres payes Ant. M04,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,109,Sinistres payes Ant. M05,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,110,Sinistres payes Ant. M06,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,111,Sinistres payes Ant. M07,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,112,Sinistres payes Ant. M08 (2025),PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,113,Sinistres payes Ant. M09,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,114,Sinistres payes Ant. M10,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,115,Sinistres payes Ant. M11,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,116,Sinistres payes Ant. M12,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,118,Commissions recues M01,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,119,Commissions recues M02,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,120,Commissions recues M03,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,121,Commissions recues M04,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,122,Commissions recues M05,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,123,Commissions recues M06,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,124,Commissions recues M07,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,125,Commissions recues M08 (2025),PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,126,Commissions recues M09,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,127,Commissions recues M10,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,128,Commissions recues M11,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,129,Commissions recues M12,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,131,REC Cloture M01,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,132,REC Cloture M02,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,133,REC Cloture M03,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,134,REC Cloture M04,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,135,REC Cloture M05,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,136,REC Cloture M06,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,137,REC Cloture M07,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,138,REC Cloture M08,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,139,REC Cloture M09,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,140,REC Cloture M10,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,141,REC Cloture M11,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,142,REC Cloture M12,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,146,2026 FY / CIBLE 2027 par LoB (SAZ Marge Tech FORECAST.xlsx - CPC SAZ Local),À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,147,Primes 2026 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J147,=SUM(B147:I147),,,1,À valider métier ; formule non reprise automatiquement
Hyp 2027,148,Primes 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J148,=SUM(B148:I148),,,1,À valider métier ; formule non reprise automatiquement
Hyp 2027,149,Sinistres payés Per. 2026 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,150,Sinistres payés Per. 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,151,Sinistres payés Ant.2026 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,152,Sinistres payés Ant. 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,153,Commissions 2026 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,154,Commissions 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,156,REASS Primes cedees 2026 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,157,REASS Primes cedees 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,158,REASS Sin. exercice 2026 FY,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,159,REASS Sin. exercice 2027 cible,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,160,REASS Sin. anterieurs 2026 FY,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,161,REASS Sin. anterieurs 2027 cible,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,162,REASS Commissions 2026 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,163,REASS Commissions 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,165,MULTIPLICATEURS k = cible 2027 / 2026 FY (par LoB),TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,166,k Primes,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B166,=B148/B147,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,167,k Sin. Per.,À QUALIFIER,En-tête ou autre,B167,"=IFERROR(B150/B149,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,168,k Sin. Ant.,À QUALIFIER,En-tête ou autre,B168,"=IFERROR(B152/B151,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,169,taux commission,TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,171,REASS k Primes,TAUX × BASE,Ratio,B171,=B157/B156,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,172,REASS k Sin. Per.,TAUX × BASE,Ratio,B172,"=IFERROR(B159/B158,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,173,REASS k Sin. Ant.,TAUX × BASE,Ratio,B173,"=IFERROR(B161/B160,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,174,REASS taux commission 2026,TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,176,"REC CLOTURE 2026 FY par branche (ancrage de l ouverture, fige toute l annee)",FIXE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,177,Direct REC cloture 2026 FY,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,178,Reass REC cloture 2026 FY,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,179,Direct REC cloture 2027 FY,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,180,Reass REC cloture 2027 FY,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,182,2025 RE/ CIBLE 2027 par LoB (SAZ Marge Tech FORECAST.xlsx - CPC SAZ Local),À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,183,Primes 2025 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,184,Primes 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,185,Sinistres payés Per. 2025 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,186,Sinistres payés Per. 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,187,Sinistres payés Ant.2025 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,188,Sinistres payés Ant. 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,189,Commissions 2025 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,190,Commissions 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,192,REASS Primes cedees 2025 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,193,REASS Primes cedees 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,194,REASS Sin. exercice 2025 FY,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,195,REASS Sin. exercice 2027 cible,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,196,REASS Sin. anterieurs 2025 FY,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,197,REASS Sin. anterieurs 2027 cible,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,198,REASS Commissions 2025 FY,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,199,REASS Commissions 2027 cible,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,201,MULTIPLICATEURS k = cible 2027 / 2025 FY (par LoB),TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,202,k Primes,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B202,=B184/B183,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,203,k Sin. Per.,À QUALIFIER,En-tête ou autre,B203,"=IFERROR(B186/B185,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,204,k Sin. Ant.,À QUALIFIER,En-tête ou autre,B204,"=IFERROR(B188/B187,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,205,taux commission 2026,TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
